# nP nQ nS 
#  dnP dnQ dnS 
#  c0P c0Q c0S 
#  t(vacuum)=162.27104934152777h ;t(nq)= 0.33359102444444444h ;t(ns)= 0.33361054930555556h
0.000000000000000000e+00 3.340743276308658083e-01 1.029809113581670266e+00
0.000000000000000000e+00 7.932844057091962761e-04 4.225475695473787305e-03
1.168319490187000000e+12 2.058976454000000000e+09 1.588343225000000000e+09
3.206471700000000000e+07 2.983946390000000000e+08 5.571320370000000000e+08
3.550000000000000000e+02 3.916312000000000000e+07 1.807905760000000000e+08
0.000000000000000000e+00 4.745616000000000000e+06 5.508047800000000000e+07
0.000000000000000000e+00 5.207270000000000000e+05 1.556002200000000000e+07
0.000000000000000000e+00 5.037200000000000000e+04 3.988913000000000000e+06
0.000000000000000000e+00 4.167000000000000000e+03 9.023020000000000000e+05
0.000000000000000000e+00 2.620000000000000000e+02 1.704040000000000000e+05
0.000000000000000000e+00 1.800000000000000000e+01 2.539700000000000000e+04
0.000000000000000000e+00 1.000000000000000000e+00 2.480000000000000000e+03
0.000000000000000000e+00 0.000000000000000000e+00 1.210000000000000000e+02
