# -  nQ  nS 
# -  dnQ dnS 
# c0P c0Q c0S 
# c1P c1Q c1S
# c2P c2Q c2S
#POVM_1 t(sum)=186.43060603305557h, t(nq)= 0.02779691597222222h, t(ns)= 0.02779253986111111
0.000000000000000000e+00 3.265855049786840492e-01 9.942757660755917604e-01
0.000000000000000000e+00 4.806379438101080967e-04 2.766126499564749638e-03
1.342263736848000000e+12 1.721158570000000000e+08 1.336521060000000000e+08
3.662618400000000000e+07 2.445126400000000000e+07 4.602185300000000000e+07
4.060000000000000000e+02 3.150279000000000000e+06 1.458341000000000000e+07
0.000000000000000000e+00 3.754100000000000000e+05 4.317084000000000000e+06
0.000000000000000000e+00 4.070000000000000000e+04 1.171119000000000000e+06
0.000000000000000000e+00 3.951000000000000000e+03 2.856800000000000000e+05
0.000000000000000000e+00 3.110000000000000000e+02 6.095200000000000000e+04
0.000000000000000000e+00 2.300000000000000000e+01 1.169300000000000000e+04
0.000000000000000000e+00 0.000000000000000000e+00 2.034000000000000000e+03
0.000000000000000000e+00 0.000000000000000000e+00 3.240000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000000e+01
#POVM_2 t(sum)=24.129215554444446h, t(nq)= 0.013899238472222223h, t(ns)= 0.013900738194444444
0.000000000000000000e+00 3.306237044790910073e-01 1.003417287463029606e+00
0.000000000000000000e+00 3.358742270918558485e-04 7.590090884603386059e-04
1.731269814070000000e+11 8.554936900000000000e+07 6.642637900000000000e+07
6.024254030000000000e+08 1.264991700000000000e+07 2.323625100000000000e+07
9.442600000000000000e+05 1.653513000000000000e+06 7.418135000000000000e+06
9.220000000000000000e+02 1.979460000000000000e+05 2.210774000000000000e+06
0.000000000000000000e+00 2.143500000000000000e+04 6.068760000000000000e+05
0.000000000000000000e+00 2.139000000000000000e+03 1.484810000000000000e+05
0.000000000000000000e+00 1.770000000000000000e+02 3.167600000000000000e+04
0.000000000000000000e+00 1.700000000000000000e+01 5.857000000000000000e+03
0.000000000000000000e+00 4.000000000000000000e+00 8.070000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 7.500000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00
#POVM_3 t(sum)=8.339625835555555h, t(nq)= 0.02779519888888889h, t(ns)= 0.027799165138888887
0.000000000000000000e+00 3.319256851863009450e-01 1.010730794403633448e+00
0.000000000000000000e+00 3.503793821186342613e-04 1.613026407629730144e-03
5.933198696500000000e+10 1.695796730000000000e+08 1.315665190000000000e+08
7.093232990000000000e+08 2.659117600000000000e+07 4.730047200000000000e+07
3.980473000000000000e+06 3.481815000000000000e+06 1.513824800000000000e+07
1.522500000000000000e+04 4.212910000000000000e+05 4.519722000000000000e+06
5.300000000000000000e+01 4.652200000000000000e+04 1.239991000000000000e+06
1.000000000000000000e+00 4.526000000000000000e+03 3.059690000000000000e+05
0.000000000000000000e+00 3.980000000000000000e+02 6.703900000000000000e+04
0.000000000000000000e+00 3.100000000000000000e+01 1.311400000000000000e+04
0.000000000000000000e+00 0.000000000000000000e+00 2.495000000000000000e+03
0.000000000000000000e+00 0.000000000000000000e+00 3.760000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000000e+01
#POVM_4 t(sum)=15.650719123055556h, t(nq)= 0.027798624305555554h, t(ns)= 0.027785203194444445
0.000000000000000000e+00 3.272692398940987846e-01 1.005047029475191422e+00
0.000000000000000000e+00 7.729854545623340758e-04 1.045047589314700674e-03
1.094219424870000000e+11 1.667786390000000000e+08 1.334703820000000000e+08
3.220238047000000000e+09 2.899826200000000000e+07 4.593015000000000000e+07
4.266080300000000000e+07 3.850440000000000000e+06 1.465233000000000000e+07
3.346370000000000000e+05 4.657060000000000000e+05 4.397635000000000000e+06
1.704000000000000000e+03 5.152200000000000000e+04 1.217286000000000000e+06
8.000000000000000000e+00 5.096000000000000000e+03 3.043410000000000000e+05
0.000000000000000000e+00 4.000000000000000000e+02 6.667700000000000000e+04
0.000000000000000000e+00 2.600000000000000000e+01 1.260600000000000000e+04
0.000000000000000000e+00 4.000000000000000000e+00 1.834000000000000000e+03
0.000000000000000000e+00 0.000000000000000000e+00 2.110000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.100000000000000000e+01
#POVM_5 t(sum)=15.650719123055556h, t(nq)= 0.027798624305555554h, t(ns)= 0.027785203194444445
0.000000000000000000e+00 3.272692398940987846e-01 1.005047029475191422e+00
0.000000000000000000e+00 7.729854545623340758e-04 1.045047589314700674e-03
1.094219424870000000e+11 1.667786390000000000e+08 1.334703820000000000e+08
3.220238047000000000e+09 2.899826200000000000e+07 4.593015000000000000e+07
4.266080300000000000e+07 3.850440000000000000e+06 1.465233000000000000e+07
3.346370000000000000e+05 4.657060000000000000e+05 4.397635000000000000e+06
1.704000000000000000e+03 5.152200000000000000e+04 1.217286000000000000e+06
8.000000000000000000e+00 5.096000000000000000e+03 3.043410000000000000e+05
0.000000000000000000e+00 4.000000000000000000e+02 6.667700000000000000e+04
0.000000000000000000e+00 2.600000000000000000e+01 1.260600000000000000e+04
0.000000000000000000e+00 4.000000000000000000e+00 1.834000000000000000e+03
0.000000000000000000e+00 0.000000000000000000e+00 2.110000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.100000000000000000e+01
#POVM_6 t(sum)=67.24473100569445h, t(nq)= 0.027800035833333334h, t(ns)= 0.027800598611111112
0.000000000000000000e+00 3.265855049786840492e-01 9.942757660755917604e-01
0.000000000000000000e+00 4.806379438101080967e-04 2.766126499564749638e-03
4.536769641590000000e+11 1.614040510000000000e+08 1.252887040000000000e+08
2.959936815800000000e+10 3.351770500000000000e+07 5.160991200000000000e+07
8.703708400000000000e+08 4.627455000000000000e+06 1.662259900000000000e+07
1.518392700000000000e+07 5.474720000000000000e+05 4.910379000000000000e+06
1.748100000000000000e+05 5.780600000000000000e+04 1.327288000000000000e+06
1.340000000000000000e+03 5.323000000000000000e+03 3.211800000000000000e+05
7.000000000000000000e+00 4.160000000000000000e+02 6.870400000000000000e+04
0.000000000000000000e+00 2.700000000000000000e+01 1.289900000000000000e+04
0.000000000000000000e+00 3.000000000000000000e+00 2.236000000000000000e+03
0.000000000000000000e+00 0.000000000000000000e+00 3.710000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 3.800000000000000000e+01
#POVM_7 t(sum)=127.492066415h, t(nq)= 0.2779829195833333h, t(ns)= 0.2779542658333333
0.000000000000000000e+00 3.321847433947471284e-01 1.008182935404747349e+00
0.000000000000000000e+00 3.647739464525205080e-04 1.127142132408820267e-03
8.167884530210000000e+11 1.541641249000000000e+09 1.208194117000000000e+09
9.591766628600000000e+10 3.916181050000000000e+08 5.415392150000000000e+08
5.074156503000000000e+09 5.987056000000000000e+07 1.786991530000000000e+08
1.592703670000000000e+08 7.444835000000000000e+06 5.346705100000000000e+07
3.284776000000000000e+06 8.162090000000000000e+05 1.473726600000000000e+07
4.681900000000000000e+04 7.886700000000000000e+04 3.663227000000000000e+06
4.140000000000000000e+02 6.694000000000000000e+03 7.987650000000000000e+05
2.000000000000000000e+00 4.810000000000000000e+02 1.476070000000000000e+05
0.000000000000000000e+00 2.100000000000000000e+01 2.178100000000000000e+04
0.000000000000000000e+00 0.000000000000000000e+00 2.389000000000000000e+03
0.000000000000000000e+00 0.000000000000000000e+00 1.430000000000000000e+02

