# nP nQ nS 
#  dnP dnQ dnS 
#  c0P c0Q c0S 
#  t(no)=25.0167293575h ;t(nq)= 0.5003398647222222h ;t(ns)= 0.5003433469444445h
7.047384866147037019e-02 7.659491851789691497e-01 4.019309701412973723e+00
2.255797957456224742e-04 1.535569330160635243e-03 8.250124816140822631e-03
1.740279410540000000e+11 2.605570351000000000e+09 1.192354251000000000e+09
5.905179372000000000e+09 7.438128480000000000e+08 8.693893950000000000e+08
1.820466550000000000e+08 1.932728380000000000e+08 5.940158380000000000e+08
5.151216000000000000e+06 4.688582100000000000e+07 3.927495430000000000e+08
1.301850000000000000e+05 1.042607700000000000e+07 2.496444390000000000e+08
2.834000000000000000e+03 2.068299000000000000e+06 1.505337680000000000e+08
5.800000000000000000e+01 3.545370000000000000e+05 8.440249200000000000e+07
0.000000000000000000e+00 5.043300000000000000e+04 4.280777100000000000e+07
0.000000000000000000e+00 5.374000000000000000e+03 1.875351700000000000e+07
0.000000000000000000e+00 4.330000000000000000e+02 6.473594000000000000e+06
0.000000000000000000e+00 1.500000000000000000e+01 1.347490000000000000e+06
